seed,variant,perturbation,n,auc,eer,tpr5
1,backbone+rppg,blur_s1,600,0.76046,0.32099999999999995,0.364
1,backbone+rppg,downscale_4x,600,0.72908,0.352,0.326
1,backbone+rppg,jpeg_q10,600,0.69776,0.35,0.26
1,backbone+rppg,blur_s2,600,0.72864,0.33999999999999997,0.322
1,backbone+rppg,downscale_2x,600,0.76276,0.31999999999999995,0.36
1,backbone+rppg,blur_s3,600,0.70124,0.368,0.28
1,backbone+rppg,noise_s10,600,0.75964,0.31199999999999994,0.362
1,backbone+rppg,jpeg_q30,600,0.7382,0.33999999999999997,0.338
1,backbone+rppg,noise_s5,600,0.75616,0.31000000000000005,0.422
1,backbone+blink,noise_s20,600,0.74384,0.33199999999999996,0.342
1,backbone+blink,clean,600,0.77554,0.31999999999999995,0.398
1,backbone+blink,jpeg_q50,600,0.75446,0.30200000000000005,0.388
1,backbone+blink,blur_s1,600,0.76444,0.30000000000000004,0.362
1,backbone+blink,downscale_4x,600,0.73324,0.33999999999999997,0.31
1,backbone+blink,jpeg_q10,600,0.7007,0.34099999999999997,0.224
1,backbone+blink,blur_s2,600,0.7318,0.32999999999999996,0.306
1,backbone+blink,downscale_2x,600,0.76574,0.30200000000000005,0.362
1,backbone+blink,blur_s3,600,0.70202,0.36,0.248
1,backbone+blink,noise_s10,600,0.76368,0.31000000000000005,0.358
1,backbone+blink,jpeg_q30,600,0.74106,0.33099999999999996,0.374
1,backbone+blink,noise_s5,600,0.7614,0.31999999999999995,0.376
1,full_fusion,noise_s20,600,0.74354,0.33199999999999996,0.338
1,full_fusion,clean,600,0.77404,0.30000000000000004,0.406
1,full_fusion,jpeg_q50,600,0.75328,0.30900000000000005,0.38
1,full_fusion,blur_s1,600,0.76426,0.30800000000000005,0.382
1,full_fusion,downscale_4x,600,0.73332,0.33999999999999997,0.32
1,full_fusion,jpeg_q10,600,0.70456,0.349,0.244
1,full_fusion,blur_s2,600,0.73282,0.33999999999999997,0.324
